geneID,KEGGID,S2_1,S2_2,S2_3,CPSF1_1,CPSF1_2,CPSF1_3
gene239,MMP0218,1213,518,752,809,689,743
gene24,MMP0019,125,48,62,384,337,378
gene240,MMP0219,3634,1730,2377,2487,2282,2504
gene241,MMP0220,1475,836,1159,2315,2310,2443
gene242,MMP0221,3012,1682,2696,2040,1765,2087
gene243,MMP0222,93,35,40,198,155,177
gene244,MMP0223,361,179,272,436,402,460
gene245,MMP0224,5072,2171,3557,6322,5763,6053
gene246,MMP0225,1393,642,907,1859,1804,1803
gene247,MMP0226,1168,530,700,1535,1427,1559
gene248,MMP0227,6948,4334,5621,12945,12599,12781
gene249,MMP0228,1225,481,752,787,721,748
gene25,MMP0020,2200,2412,3247,1714,1799,1964
gene250,MMP0229,1298,875,1077,880,856,890
gene251,MMP0230,1494,912,1240,968,932,936
gene252,MMP0231,364,214,265,306,280,292
gene253,MMP0232,783,420,711,587,601,669
gene254,MMP0233,437,261,340,270,261,286
gene255,MMP0234,12502,7010,10409,7671,7484,7401
gene256,MMP0235,5701,3891,5117,4392,4512,4474
gene257,MMP0236,603,322,474,855,802,863
gene258,MMP0237,866,242,488,1069,918,1085
gene259,MMP0238,507,203,290,764,608,826
gene26,MMP0021,422,178,279,419,384,373
gene260,MMP0239,1561,478,918,2076,1931,2094
gene261,MMP0240,774,217,487,934,872,835
gene262,MMP0241,4585,1716,3155,4719,4230,4373
gene263,MMP0242,395,92,229,1119,960,959
gene264,MMP0243,190,60,131,565,525,516
gene265,MMP0244,695,336,485,2729,2711,2550
gene266,MMP0245,5609,3696,4477,7222,6705,7004
gene267,MMP0246,162,39,96,320,277,315
gene268,MMP0247,1102,417,689,1956,1742,1820
gene269,MMP0248,42,46,46,49,46,49
gene27,MMP0022,410,103,250,401,375,376
gene270,MMP0249,2575,841,1312,1353,1155,1184
gene271,MMP0250,19150,11306,15831,13191,12766,12093
gene272,MMP0251,9977,7689,9321,8497,8118,8159
