248103,248384,"MMP0243"
248385,248751,"MMP0244"
248752,249805,"MMP0245"
249806,250204,"MMP0246"
250205,250463,"MMP0247"
250464,250957,"MMP0248"
250958,251152,"MMP0249"
251153,251472,"MMP0250"
251473,252275,"MMP0251"
252276,253586,"MMP0253"
253587,258316,"MMP0256"
258317,258939,"MMP0257"
258940,259616,"MMP0258"
259617,260003,"MMP0259"
260004,261024,"MMP0260"
261025,261844,"MMP0261"
261845,262131,"MMP0262"
262132,266419,"MMP0266"
266420,267080,"MMP0267"
267081,267810,"MMP0268"
267811,270082,"MMP0270"
270083,270743,"MMP0271"
270744,271467,"MMP0272"
271468,272277,"MMP0273"
272278,277203,"MMP0276"
277204,278367,"MMP0277"
278368,283401,"MMP0282"
283402,289876,"MMP0289"
289877,292999,"MMP0292"
293000,293196,"MMP0293"
293197,296196,"MMP0296"
296197,297342,"MMP0297"
297343,301467,"MMP0303"
301468,301670,"MMP0304"
301671,302475,"MMP0305"
302476,303341,"MMP0306"
303342,308925,"MMP0314"
308926,310162,"MMP0315"
310163,310758,"MMP0316"
310759,314207,"MMP0318"
314208,315937,"MMP0319"
315938,316643,"MMP0320"
316644,319643,"MMP0323"
319644,320722,"MMP0324"
320723,321169,"MMP0325"
321170,327912,"MMP0331"
327913,332791,"MMP0336"
332792,333215,"MMP0337"
333216,333690,"MMP0338"
333691,339867,"MMP0343"
339868,340591,"MMP0344"
340592,341597,"MMP0345"
341598,342467,"MMP0346"
342468,343814,"MMP0347"
343815,344219,"MMP0348"
344220,344939,"MMP0349"
344940,351015,"MMP0355"
351016,352524,"MMP0356"
352525,353715,"MMP0357"
353716,354790,"MMP0358"
354791,355921,"MMP0359"
355922,357702,"MMP0361"
357703,358253,"MMP0362"
358254,359558,"MMP0363"
359559,360474,"MMP0364"
360475,361472,"MMP0365"
361473,369232,"MMP0372"
369233,370557,"MMP0374"
370558,373010,"MMP0376"
373011,374200,"MMP0377"
374201,374873,"MMP0378"
374874,376162,"MMP0379"
376163,376490,"MMP0380"
376491,383722,"RNA_34"
383723,383887,"RNA_33"
383888,384080,"MMP0384"
384081,384368,"MMP0385"
384369,385282,"MMP0386"
385283,386328,"MMP0388"
386329,387503,"MMP0389"
387504,387754,"MMP0390"
387755,388479,"MMP0391"
388480,389726,"MMP0392"
389727,391261,"MMP0393"
391262,391835,"MMP0394"
391836,392585,"MMP0395"
392586,406129,"MMP0407"
406130,407641,"MMP0409"
407642,409867,"MMP0411"
409868,414091,"MMP0414"
414092,426315,"MMP0424"
426316,428224,"MMP0427"
428225,429261,"MMP0428"
429262,431730,"MMP0431"
431731,434515,"MMP0434"
434516,437673,"MMP0438"
437674,441547,"MMP0445"
441548,441990,"MMP0446"
441991,442530,"MMP0447"
442531,442923,"MMP0448"
442924,443364,"MMP0449"
443365,444206,"MMP0450"
444207,445073,"MMP0451"
445074,445611,"MMP0452"
445612,445925,"MMP0453"
445926,447066,"MMP0454"
447067,447703,"MMP0455"
447704,448553,"MMP0456"
448554,458318,"MMP0461"
458319,458525,"MMP0462"
458526,459308,"MMP0463"
459309,462521,"MMP0464"
462522,463612,"MMP0465"
463613,471143,"MMP0475"
471144,473717,"MMP0476"
473718,474016,"MMP0477"
474017,474413,"MMP0478"
474414,475377,"MMP0479"
475378,476251,"MMP0481"
476252,478571,"MMP0482"
478572,478947,"MMP0483"
478948,479516,"MMP0484"
479517,485802,"MMP0488"
485803,486425,"MMP0489"
486426,487189,"MMP0490"
487190,487521,"MMP0491"
487522,488162,"MMP0492"
488163,489237,"MMP0493"
489238,496024,"MMP0494"
496025,498297,"MMP0495"
498298,501162,"MMP0497"
501163,502790,"MMP0499"
502791,504522,"MMP0501"
504523,508346,"MMP0504"
508347,509394,"MMP0505"
509395,510094,"MMP0506"
510095,510908,"MMP0507"
510909,518774,"MMP0513"
518775,522589,"MMP0517"
522590,523200,"MMP0518"
523201,523566,"MMP0519"
523567,523959,"MMP0520"
523960,526565,"MMP0521"
526566,527825,"MMP0522"
527826,529146,"MMP0523"
529147,530045,"MMP0524"
530046,530661,"MMP0525"
530662,532987,"MMP0528"
532988,533633,"MMP0529"
533634,539194,"MMP0534"
539195,540277,"MMP0535"
540278,541064,"MMP0536"
541065,541501,"MMP0537"
541502,556641,"MMP0553"
556642,559014,"MMP0556"
559015,559858,"MMP0557"
559859,560281,"MMP0558"
560282,562048,"MMP0561"
562049,562817,"MMP0562"
562818,563258,"MMP0563"
563259,563804,"MMP0564"
563805,564732,"MMP0565"
564733,565697,"MMP0566"
565698,567367,"MMP0567"
567368,567797,"MMP0568"
567798,568527,"MMP0569"
568528,570187,"MMP0570"
570188,570696,"MMP0571"
570697,571721,"MMP0572"
571722,573568,"MMP0574"
573569,573704,"MMP0575"
573705,573961,"MMP0576"
573962,574840,"MMP0577"
574841,575111,"MMP0578"
575112,575501,"MMP0579"
575502,576227,"MMP0580"
576228,579029,"MMP0584"
579030,582554,"MMP0586"
582555,583278,"MMP0587"
583279,587336,"MMP0590"
587337,588068,"MMP0591"
588069,588738,"MMP0592"
588739,588917,"MMP0593"
588918,589779,"MMP0594"
589780,590364,"MMP0595"
590365,595456,"MMP0599"
595457,596237,"MMP0600"
596238,597015,"MMP0601"
597016,598023,"MMP0602"
598024,600654,"MMP0606"
600655,601455,"MMP0607"
601456,603102,"MMP0608"
603103,604474,"MMP0609"
604475,607518,"MMP0612"
607519,609963,"MMP0615"
609964,615836,"MMP0621"
615837,618916,"MMP0625"
618917,619232,"MMP0626"
619233,619778,"MMP0627"
619779,621322,"MMP0630"
621323,632868,"MMP0639"
632869,633076,"MMP0640"
633077,633346,"MMP0641"
633347,633847,"MMP0642"
633848,635985,"MMP0644"
635986,636877,"MMP0645"
636878,638236,"MMP0647"
638237,638656,"MMP0648"
638657,639680,"MMP0649"
639681,644644,"MMP0653"
644645,647675,"MMP0657"
647676,648045,"MMP0658"
648046,649030,"MMP0659"
649031,650283,"MMP0660"
650284,655139,"MMP0666"
655140,661342,"MMP0673"
661343,662813,"MMP0674"
662814,663027,"MMP0675"
663028,663550,"MMP0676"
663551,665043,"MMP0677"
665044,666725,"MMP0679"
666726,668393,"MMP0680"
668394,669125,"MMP0681"
669126,670531,"MMP0682"
670532,671197,"MMP0683"
671198,675756,"MMP0688"
675757,678832,"MMP0690"
678833,679539,"MMP0691"
679540,680170,"MMP0692"
680171,681195,"MMP0693"
681196,682145,"MMP0694"
682146,684187,"MMP0695"
684188,684942,"MMP0696"
684943,689869,"MMP0699"
689870,691236,"MMP0700"
691237,693345,"MMP0703"
693346,694408,"MMP0704"
694409,695370,"MMP0705"
695371,696475,"MMP0706"
696476,697771,"MMP0707"
697772,710315,"MMP0717"
710316,716325,"MMP0725"
716326,717504,"MMP0727"
717505,719441,"MMP0728"
719442,721032,"MMP0729"
721033,724013,"MMP0730"
724014,724442,"MMP0731"
724443,724668,"MMP0732"
724669,725998,"MMP0733"
725999,730287,"MMP0738"
730288,732154,"MMP0739"
732155,733128,"MMP0740"
733129,734495,"MMP0741"
734496,737294,"MMP0743"
737295,738278,"MMP0744"
738279,738541,"MMP0745"
738542,738712,"MMP0746"
738713,739200,"MMP0747"
739201,739441,"MMP0748"
739442,741467,"MMP0749"
741468,742051,"MMP0750"
742052,742371,"MMP0751"
742372,744856,"MMP0754"
744857,749567,"MMP0757"
749568,749878,"MMP0758"
749879,750869,"MMP0759"
750870,752250,"MMP0760"
752251,754114,"MMP0764"
754115,754505,"MMP0765"
754506,756454,"MMP0766"
756455,757172,"MMP0767"
757173,758130,"MMP0768"
758131,759560,"MMP0769"
759561,762446,"MMP0771"
762447,762949,"MMP0772"
762950,763723,"MMP0773"
763724,765202,"MMP0774"
765203,765796,"MMP0775"
765797,766242,"MMP0776"
766243,766733,"MMP0777"
766734,767826,"MMP0778"
767827,768170,"MMP0779"
768171,768715,"MMP0780"
768716,770742,"MMP0781"
770743,772684,"MMP0782"
772685,773425,"RNA_32"
773426,778044,"MMP0787"
778045,781596,"MMP0789"
781597,790662,"MMP0798"
790663,802414,"MMP0810"
802415,803109,"MMP0811"
803110,803702,"MMP0812"
803703,807432,"MMP0814"
807433,808687,"MMP0815"
808688,811265,"MMP0816"
811266,811639,"MMP0817"
811640,812509,"MMP0818"
812510,813248,"MMP0819"
813249,813762,"MMP0820"
