"ID","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"sRNA00046","--",82.8182786741951,-1.44778285686787,0.285605294065866,-5.06917374064496,3.99546388143017e-07,1.03988291862333e-06
"sRNA00047","--",7489.54111721953,7.4991719733948,0.363860072793743,20.6100436242307,2.23030709015649e-94,1.03415818233046e-92
"gene6","MMP0001",692.487165462408,-0.141185528737346,0.107213550640556,-1.31686272764797,0.18788464204936,0.234789176802108
"gene7","MMP0002",3556.48441256615,0.0132443261285571,0.0991948485002705,0.133518285765828,0.893783503793441,0.911369521807895
"gene8","MMP0003",3822.59477065477,-0.467902728718259,0.0894353956865389,-5.23173990707444,1.67921914830652e-07,4.53801248361364e-07
"gene9","MMP0004",798.515772566972,-0.404476483538872,0.165368560216488,-2.44590920432132,0.0144487381931164,0.0222930619056665
"gene10","MMP0005",509.853397170732,-0.0680886890443439,0.114082130525921,-0.596839213384723,0.55061473444298,0.606743691112277
"gene11","MMP0006",4535.02993968007,-0.979350060504496,0.149188538832618,-6.56451271771804,5.2203289036162e-11,2.0215867094883e-10
"gene12","MMP0007",2018.69816491286,0.304970794431959,0.100362776990137,3.03868429688758,0.00237613716849103,0.00408463774720116
"gene13","MMP0008",1279.33889033641,-0.146329681001491,0.107747682042294,-1.35807729899983,0.174439157631838,0.220647376703014
"gene14","MMP0009",736.082739264215,-0.562619584457446,0.153060057738376,-3.67580930499273,0.000237096583904543,0.000465216237015372
"gene15","MMP0010",240.282400801662,-0.279814099569718,0.144450733008987,-1.9370902019051,0.0527343181248702,0.0751154959870827
"gene16","MMP0011",709.605763219095,-0.129907028962797,0.128231613312631,-1.01306554294129,0.311028855345519,0.366898815868811
"gene17","MMP0012",97.0950419154809,-0.212556860260377,0.327522774629436,-0.648983450084857,0.516349073534248,0.574373148716758
"gene18","MMP0013",2393.87058518855,-0.418515847989277,0.0693805701884352,-6.03217654240377,1.61765910125883e-09,5.53459288624867e-09
"gene19","MMP0014",1052.5097345495,0.10093519122864,0.0841982541827835,1.19878009595689,0.230613463979506,0.282573660314248
"gene20","MMP0015",771.271325004161,-0.0164735372688912,0.0956555811732778,-0.172217209564069,0.863266768739099,0.887442267513589
"gene21","MMP0016",520.210939652279,0.152623853004426,0.103292016104095,1.47759583713242,0.139515989266724,0.181690445741292
"gene22","MMP0017",1138.92871392481,-0.214976388762945,0.128203910502903,-1.67683175902873,0.0935753854614101,0.125670601511436
"gene23","MMP0018",335.676374912388,0.796377128445788,0.163000343368374,4.88573896219351,1.03041645085e-06,2.58263696500385e-06
"gene24","MMP0019",203.468362889367,1.95426623110321,0.189608093294267,10.3068713848107,6.56022426213771e-25,5.95830677829208e-24
"gene25","MMP0020",2357.76393490209,-0.931896689250605,0.290132946860506,-3.21196437472733,0.00131830721904213,0.00234632052520427
"gene26","MMP0021",330.122137131364,0.140816623261852,0.126698747676426,1.11142869084611,0.26638386839015,0.319951176621299
"gene27","MMP0022",299.265044308122,0.386329894828537,0.248197630108684,1.55654143296761,0.119579398217209,0.157237984819942
"gene28","MMP0023",1655.35050217368,-0.399347182167838,0.128410897758856,-3.10991659693693,0.00187140177302628,0.00325831020165247
"gene29","MMP0024",2058.04006238149,-0.535830639692391,0.130081548760547,-4.11919019106041,3.80206237201996e-05,8.14991958576541e-05
"gene30","MMP0025",2531.86087396631,0.88775915544562,0.0794434709048725,11.1747277068073,5.42163916261002e-29,5.61936953206992e-28
"gene31","MMP0026",17141.8920171389,2.10546706569788,0.0887785762014195,23.7159363867363,2.46951918542086e-124,1.67357415565829e-122
"gene37","MMP0027",359.477825203987,0.299147282926417,0.114745859752471,2.60704206297059,0.00913281404739129,0.0145234822666999
"gene38","MMP0028",804.991739703582,-0.680077756721445,0.113364748876781,-5.99902318365862,1.98508018410418e-09,6.75233838685632e-09
"gene39","MMP0029",1219.78995882684,-0.314133645644767,0.221456812950082,-1.41848715991219,0.156048584799948,0.200406418671653
"gene40","MMP0030",2949.78960367421,0.799001498870306,0.0744150966646297,10.7370887720701,6.81598702850683e-27,6.67209396901613e-26
"gene41","MMP0031",556.781391164301,0.596152960682389,0.20056810799621,2.97232180448974,0.00295556721092388,0.00501223236347245
"gene42","MMP0032",87.0336431848579,0.664002337187533,0.217395363219455,3.05435372380616,0.00225545974204054,0.00389619614262297
"gene43","MMP0033",2603.47175611659,0.740071566904457,0.0975821624157091,7.58408656442438,3.34837560281882e-14,1.70515543704241e-13
"gene44","MMP0034",4280.10798256603,0.32446844323425,0.170762049461066,1.90012033855467,0.0574173292126703,0.08093546725818
"gene45","MMP0035",2331.03926593608,0.996281494726836,0.113523366115933,8.77600382030084,1.69386077265526e-18,1.08137053674586e-17
"gene46","MMP0036",1412.84593896913,0.635259003763183,0.110921044737262,5.727127843665,1.02145193687397e-08,3.17424746520623e-08
"gene47","MMP0037",410.610884895647,3.0874179526103,0.158180192052774,19.518360121729,7.66594020268501e-85,2.9363883993763e-83
"gene48","MMP0038",1917.48707134255,-0.761894231122653,0.129653493042011,-5.87638800349002,4.1931486399116e-09,1.36567983429284e-08
"gene49","MMP0039",1816.10179517435,-0.691956954811733,0.11606902502702,-5.96159875255825,2.49781888891207e-09,8.39915435546388e-09
"gene50","MMP0040",4453.20733336616,-0.831993303519582,0.158089995153114,-5.26278277580928,1.41891188006099e-07,3.85821409362262e-07
"gene51","MMP0041",3395.25251848431,-0.59377486737144,0.0815701841201912,-7.27931257941665,3.35525447228369e-13,1.58073753480317e-12
"gene52","MMP0042",1311.37562891607,-0.302002258035765,0.0922305485273589,-3.27442764743159,0.00105876248323574,0.0019016712491961
"gene53","MMP0043",4552.76578674971,-0.387050749714961,0.133759745724816,-2.89362653627678,0.00380820813337045,0.00638445550047453
"gene54","MMP0044",7149.71321978613,-0.954882513700967,0.189674643338718,-5.03431822458079,4.79552475667302e-07,1.24443514304239e-06
"gene55","MMP0045",3766.6947235496,-0.747112068628978,0.101342369805297,-7.37215904921463,1.67886547270278e-13,8.1943516977903e-13
"gene56","MMP0046",921.205437030491,1.09698507917077,0.207547720405617,5.28545954167502,1.25389584206141e-07,3.44137768490997e-07
"gene57","MMP0047",298.375003771955,-1.00763390356657,0.130549435618862,-7.71840872991861,1.17790960434629e-14,6.10434330252403e-14
"gene58","MMP0048",37.4988902409278,-0.633750759135463,0.331716619905616,-1.91051856043808,0.0560664789568963,0.0794124886833209
"gene59","MMP0049",242.792654174129,-1.02791551482241,0.194604694881476,-5.28206945597308,1.27732751732406e-07,3.49479982224378e-07
"gene60","MMP0050",2609.91468282952,-1.23731234457211,0.256656366429175,-4.8208909125718,1.42918499235072e-06,3.51707256497481e-06
"gene61","MMP0051",405.430430177967,0.845143934217873,0.185326831809967,4.56028911714457,5.10832398945405e-06,1.19059085574313e-05
"gene62","MMP0052",2606.87609947526,0.340200533549988,0.090612300194974,3.7544630565383,0.000173713462877884,0.000345466277190556
"gene63","MMP0053",927.804548510112,-0.296048516820239,0.139080980458953,-2.12860533369343,0.0332869268629256,0.0487949793115431
"gene64","MMP0054",889.499112420992,-0.3232635697881,0.111855087305638,-2.89002116555326,0.00385215889366444,0.00643365305273624
"gene65","MMP0055",1066.27921394355,-0.416477598832932,0.0827692203889027,-5.03179318200721,4.85913304805115e-07,1.25908712215678e-06
"gene66","MMP0056",1103.37347523163,-1.18133286597043,0.148183998274683,-7.97206769775937,1.56041282511839e-15,8.51222104600189e-15
"gene67","MMP0057",2338.67674675999,-1.53891725776987,0.13427467715319,-11.4609641251579,2.07195365943852e-30,2.34024509482735e-29
"gene68","MMP0058",76334.8390518485,-1.9891684746572,0.278339496710752,-7.14655483021271,8.89828567171309e-13,3.99968861060165e-12
"gene69","MMP0059",1366.86380205218,0.534028414402921,0.154927018136262,3.4469676162826,0.000566916532056497,0.00106720825799524
"gene70","MMP0060",1625.99366879288,-0.399470038545662,0.14860671612069,-2.68810218658782,0.00718594023234323,0.011594896235704
"gene71","MMP0061",11164.5015266827,-0.241617485735994,0.0715743532404394,-3.37575506863931,0.00073613421350536,0.00135676619685821
"gene72","MMP0062",3161.88911318186,0.0252673432969887,0.263001243435659,0.0960730944345143,0.923462519971206,0.935138482867393
"gene73","MMP0063",2510.99262744628,0.290740954973838,0.087565919852209,3.32025239344875,0.00089936099076745,0.00163032311289326
"gene74","MMP0064",1170.33045502037,-1.79391796123436,0.239961811942621,-7.47584770556458,7.67077509919642e-14,3.79660273168093e-13
"gene75","MMP0065",3753.4259055136,-1.59831673547323,0.15848380461005,-10.0850477397731,6.43339038288095e-24,5.55668326207659e-23
"gene76","MMP0066",2370.68359978016,0.244182800181653,0.160471600752342,1.52165740876794,0.128094944752091,0.167684467052886
"gene77","MMP0067",112.926256444751,0.396421684102132,0.177069425030204,2.23879240605491,0.0251694266221842,0.0376473087506694
"gene78","MMP0068",455.370918968184,0.525593796669097,0.124567483957717,4.21934986539108,2.45007814065575e-05,5.35612615860476e-05
"gene79","MMP0069",97.0556677405638,-0.231593634751421,0.181689327428437,-1.27466834749906,0.202426654717363,0.251003353703021
"gene80","MMP0070",286.088615578784,0.465421969919209,0.163585394253495,2.84513157206432,0.0044393081882361,0.00733089130990816
"gene83","MMP0071",492.03728998884,0.154026635396363,0.110667792666993,1.39179278527619,0.163985155351056,0.208471748721906
"gene84","MMP0072",518.642902645284,-0.882899425345659,0.110358006317526,-8.00032054589086,1.24095729484485e-15,6.87599608024097e-15
"gene85","MMP0073",6583.71298381504,-0.836980404611325,0.117099549664078,-7.147597125799,8.83100350761488e-13,3.97959800010676e-12
"gene86","MMP0074",400.004444813645,1.22017808942124,0.161326149398014,7.56342411924117,3.92594879204893e-14,1.97080392352997e-13
"gene87","MMP0075",959.414284174245,2.72368094394846,0.309980896152474,8.78660903867034,1.54142065506745e-18,9.91234742419288e-18
"gene88","MMP0076",137182.220916848,-0.875747649276212,0.259392108229692,-3.37615378992462,0.000735068188053318,0.0013562200495811
"gene89","MMP0077",486.540538139718,-0.027303812485416,0.120596416214981,-0.226406499814579,0.820885273055055,0.851324220790469
"gene90","MMP0078",653.028560291445,-0.802249836671003,0.112738900645697,-7.1159984005186,1.11105583350264e-12,4.91879492118504e-12
"gene91","MMP0079",1451.02121095421,-0.243887428249094,0.186249959984223,-1.30946298334643,0.19037756875315,0.237735844183594
"gene92","MMP0080",6181.77176591929,-0.0501766413947142,0.201956158149247,-0.2484531388126,0.803783823294239,0.83604905350912
"gene93","MMP0081",10198.6523555293,0.0306498026375477,0.199838354584067,0.153372973378112,0.878104156822982,0.899123715849202
"gene94","MMP0082",4848.90850655109,0.0359110585740733,0.16412071875567,0.21880880638559,0.826798986595768,0.856952831989261
